Airlinecode;Destcode;Vliegtuigtype
CAO;SHA;77F
CPA;HKG;74Y
CPA;FRA;74Y
CPA;DWC;74Y
CAL;BKK;74Y
CAL;TPE;74Y
DHK;EMA;75F
DHK;LHR;75F
UAE;DWC;77F
UAE;IAH;77F
ETD;AUH;77F
ETD;NBO;77F
FDX;OSL;75F
FDX;CDG;75F
IRA;IKA;ABF
KAL;ICN;77F
LCO;EZE;77F
GEC;FRA;M1F
ETD;BOG;77F
GEC;BOG;77F
MPH;BOG;74Y
MPH;EZE;74Y
MPH;CAI;74Y
MPH;DAR;74Y
MPH;JNB;74Y
MPH;STN;74Y
MPH;MIA;74Y
MPH;NBO;74Y
MAS;KUL;33F
MAS;SIN;33F
QTR;ORD;77F
QTR;DOH;77F
SQC;ORD;74Y
SQC;CPH;74Y
SQC;JNB;74Y
SQC;LHR;74Y
SQC;SIN;74Y
THY;IST;33F
THY;STN;33F
